location,city,image_link-src
"4909 NE Hazel Dell Ave, Vancouver, WA 98663",Vancouver,https://lh5.googleusercontent.com/p/AF1QipN37qzJgs4ZVcH56P4Zzc0wo1BofnWKmuLLcC4=w408-h240-k-no-pi0-ya260.82-ro-0-fo100
"3060 E 1st St, Kearney, NE 68847",Kearney,https://lh5.googleusercontent.com/p/AF1QipM8_axOfY1jQ2rVSj_p0GTVvFFgfxGikDG0MH9V=w408-h306-k-no
"855 E Smith St, Kent, WA 98030",Kent,https://lh5.googleusercontent.com/p/AF1QipP8fpp1i6QDKrRd4NlD0YD296Ck6LZARg7NIcMH=w408-h410-k-no
"25828 Lake Fenwick Rd, Kent, WA 98032",Kent,https://lh5.googleusercontent.com/p/AF1QipMFSG7lc3ip5e9AtCn9_voEoL4W76PsoL4Ytb7g=w408-h306-k-no
"14800 SE 272nd St, Kent, WA 98030",Kent,https://lh5.googleusercontent.com/p/AF1QipM1_gi9wcWxpyM4M61scb3YgGYMW92AOsT9FKxT=w408-h306-k-no
"240 W Kent Station St #104, Kent, WA 98032",Kent,https://lh5.googleusercontent.com/p/AF1QipPrBZjmuBk_vWyjlfjHHSbRBycz36ZK0s598h5k=w408-h306-k-no
"1702 S Grand Blvd, Spokane, WA 99203",Spokane,https://lh5.googleusercontent.com/p/AF1QipMH9l6GnpHNTsz-AS7zI8urZIP9bCLlv4Oo3DS7=w408-h306-k-no
"1801 Dock St, Tacoma, WA 98402",Tacoma,https://lh5.googleusercontent.com/p/AF1QipNQwctuFvEmmYEw8ZoSFtGx14i7qArNZy1ojk75=w408-h292-k-no
"2316 W 1st Ave, Spokane, WA 99201",Spokane,https://lh5.googleusercontent.com/p/AF1QipPGTOJEhuHvRgqcVkL4zzOM0hqWyn6SgYchgdEg=w408-h306-k-no
"5400 N Pearl St, Tacoma, WA 98407",Tacoma,https://lh5.googleusercontent.com/p/AF1QipM6MdyLl8wBnyp7R7wRqczBDVtcqW_zlyUS-SiA=w426-h240-k-no
"5400 N Pearl St, Tacoma, WA 98407",Tacoma,https://lh5.googleusercontent.com/p/AF1QipPb-nR82e42Ah7qquCcf06JmmXcIPC7j7xXHoBw=w408-h307-k-no
"3720 2nd Ave, Kearney, NE 68847",Kearney,https://lh5.googleusercontent.com/p/AF1QipOCQEsdbKiDLNAiYMVEH1MuZACtxqsZFUq-2_iA=w408-h304-k-no
"507 N Howard St, Spokane, WA 99201",Spokane,https://lh5.googleusercontent.com/p/AF1QipP_Hc6OdMFqI1n-0qV7ftgxPT48Wze1LkVz6pw3=w408-h293-k-no
"1483 Alaskan Way Pier 59, Seattle, WA 98101",Seattle,https://lh5.googleusercontent.com/p/AF1QipObZOZTsgYTiJbTIcZjae1Rbci5BG1jS5eEpm8e=w408-h306-k-no
"305 Harrison St, Seattle, WA 98109",Seattle,https://lh5.googleusercontent.com/p/AF1QipPg9atDDSJauI-YTQIWGSpbPfId8c5o1Q3S6pXq=w408-h544-k-no
"400 Broad St, Seattle, WA 98109",Seattle,https://lh5.googleusercontent.com/p/AF1QipNsyFIaxF5tBjV3jve6HWp6tUmXldcDcRKRAxih=w408-h544-k-no
"407 Cedar St, Seattle, WA 98121",Seattle,https://lh5.googleusercontent.com/p/AF1QipN5vsL8gvSuWPA7OEeBnN4R3TMDlTQMhfu0ygGC=w408-h306-k-no
"WA-14, Vancouver, WA 98661",Vancouver,https://lh5.googleusercontent.com/p/AF1QipNs2H2x5kjfnwsW2Z9oO2uFcJVMGtwxPSpotLud=w426-h240-k-no
"1911 Pacific Ave, Tacoma, WA 98402",Tacoma,https://lh5.googleusercontent.com/p/AF1QipOiu_VBi0_u89QZ9J3RAxpbp1zMHCtStnUVvfs=w426-h240-k-no
"10515 N Division St, Spokane, WA 99218",Spokane,https://lh5.googleusercontent.com/p/AF1QipMa_lSvaq7phyXh3NexHXtVTGHCwa_SpoUKcCnN=w408-h272-k-no
