,name,rating,website,location,wheelchair,family,image_link-src,description,meta_descriptions,latitude,longitude
13,Lake Fenwick Park,4.4,kentwa.gov,"25828 Lake Fenwick Rd, Kent, WA 98032",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMFSG7lc3ip5e9AtCn9_voEoL4W76PsoL4Ytb7g=w408-h306-k-no,"Lush green lakefront park with a boat launch, a disc golf course & jogging trails on its 141 acres.",,47.3685426,-122.2718073
14,Lake Meridian Park,4.4,kentwa.gov,"14800 SE 272nd St, Kent, WA 98030",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipM1_gi9wcWxpyM4M61scb3YgGYMW92AOsT9FKxT=w408-h306-k-no,"City park with a playground, picnic shelters & lighted paths, plus swimming & a boat launch.",,47.35869659999999,-122.1449962
15,Mama Stortini's Restaurant & Bar,4.2,mamastortinis.com,"240 W Kent Station St #104, Kent, WA 98032",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating,Amenities    Bar onsite   Good for kids   High chairs,https://lh5.googleusercontent.com/p/AF1QipPrBZjmuBk_vWyjlfjHHSbRBycz36ZK0s598h5k=w408-h306-k-no,"Casual choice for Italian & American meals from local ingredients plus beer, wine & cocktails.",,47.385686,-122.2351426
16,Manito Park,4.8,manitopark.org,"1702 S Grand Blvd, Spokane, WA 99203",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipMH9l6GnpHNTsz-AS7zI8urZIP9bCLlv4Oo3DS7=w408-h306-k-no,"78-acre park, opened in 1904, featuring rose, lilac, & formal & native plant gardens, plus a pond.",,47.6364762,-117.4124515
17,Museum of Glass,4.5,museumofglass.org,"1801 Dock St, Tacoma, WA 98402",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNQwctuFvEmmYEw8ZoSFtGx14i7qArNZy1ojk75=w408-h292-k-no,Diverse indoor & outdoor glass-art exhibits plus a cone-shaped studio with working artists.,"Museum of Glass, in the heart of downtown Tacoma, offers live glassblowing 
demonstrations, dynamic exhibitions, and make your own glass experiences.",47.2458849,-122.4341104
18,Northwest Museum of Arts and Culture,4.6,northwestmuseum.org,"2316 W 1st Ave, Spokane, WA 99201",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom,https://lh5.googleusercontent.com/p/AF1QipPGTOJEhuHvRgqcVkL4zzOM0hqWyn6SgYchgdEg=w408-h306-k-no,"Exhibits blend regional history, art & culture at this eclectic museum that includes a mansion tour.",,47.65683629999999,-117.4468732
19,Point Defiance Park,4.7,metroparkstacoma.org,"5400 N Pearl St, Tacoma, WA 98407",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipM6MdyLl8wBnyp7R7wRqczBDVtcqW_zlyUS-SiA=w426-h240-k-no,"Large park with the Point Defiance zoo & aquarium, hikes in an old-growth forest, gardens & beaches.",,47.30405649999999,-122.5177218
20,Point Defiance Zoo & Aquarium,4.5,pdza.org,"5400 N Pearl St, Tacoma, WA 98407",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipPb-nR82e42Ah7qquCcf06JmmXcIPC7j7xXHoBw=w408-h307-k-no,"Zoo & aquarium with nearly 300 species, including tigers, meerkats & a landmark red wolf habitat.","Point Defiance Zoo & Aquarium in Tacoma, Washington is part of Metro Parks Tacoma. A zoo, aquarium and botanical garden with over 500 animal and plant species.",47.30405649999999,-122.5177218
21,Raising Cane's Chicken Fingers,4.4,,"3720 2nd Ave, Kearney, NE 68847",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids   High chairs   Restroom,https://lh5.googleusercontent.com/p/AF1QipOCQEsdbKiDLNAiYMVEH1MuZACtxqsZFUq-2_iA=w408-h304-k-no,"Fast-food chain specializing in fried chicken fingers, crinkle-cut fries & Texas toast.",,40.7124781,-99.084627
22,Riverfront Park,4.7,riverfrontspokane.org,"507 N Howard St, Spokane, WA 99201",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipP_Hc6OdMFqI1n-0qV7ftgxPT48Wze1LkVz6pw3=w408-h293-k-no,"Site of the 1974 World's Fair featuring sculptures, a carousel & a cable ride over Spokane Falls.","Enjoy the beautiful Riverfront in downtown Spokane. Find information about major attractions, events, rentals, hours, and pricing.",47.6606651,-117.4203235
23,Seattle Aquarium,4.4,seattleaquarium.org,"1483 Alaskan Way Pier 59, Seattle, WA 98101",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipObZOZTsgYTiJbTIcZjae1Rbci5BG1jS5eEpm8e=w408-h306-k-no,"Aquarium shop with books, stuffed animals & toys for visitors to underwater exhibits.","A premier resource for marine experiences and conservation education! Offering fun, exciting ways to discover more about the amazing Puget Sound and our one ocean.",47.6074097,-122.3430306
24,Seattle Center,4.6,seattlecenter.com,"305 Harrison St, Seattle, WA 98109",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,,https://lh5.googleusercontent.com/p/AF1QipPg9atDDSJauI-YTQIWGSpbPfId8c5o1Q3S6pXq=w408-h544-k-no,"Huge community events complex with museums, theaters, gardens, sports stadium, restaurants & shops.",,47.6228045,-122.3529322
25,Space Needle,4.6,spaceneedle.com,"400 Broad St, Seattle, WA 98109",Accessibility    Wheelchair accessible entrance,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNsyFIaxF5tBjV3jve6HWp6tUmXldcDcRKRAxih=w408-h544-k-no,"Iconic, 605-ft.-tall spire at the Seattle Center, with an observation deck & a rotating restaurant.","For the first time in half a century, the Space Needle has been totally transformed to take your visit to the next level — and beyond.",47.6203953,-122.3493709
26,Tilikum Place Cafe,4.6,tilikumplacecafe.com,"407 Cedar St, Seattle, WA 98121",Accessibility    Wheelchair accessible parking lot,Amenities    Bar onsite   High chairs   Restroom,https://lh5.googleusercontent.com/p/AF1QipN5vsL8gvSuWPA7OEeBnN4R3TMDlTQMhfu0ygGC=w408-h306-k-no,"European-style bistro & bar offering an eclectic, seasonal menu in a casual, stylish space.",,47.6178436,-122.3476377
27,Vancouver Land Bridge,4.5,,"WA-14, Vancouver, WA 98661",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot,Amenities    Good for kids,https://lh5.googleusercontent.com/p/AF1QipNs2H2x5kjfnwsW2Z9oO2uFcJVMGtwxPSpotLud=w426-h240-k-no,"40-ft.-wide earth-covered pedestrian bridge with 2 overlooks, interpretive panels & native plants.",,45.6185709,-122.6285335
28,Washington State History Museum,4.6,washingtonhistory.org,"1911 Pacific Ave, Tacoma, WA 98402",Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi,https://lh5.googleusercontent.com/p/AF1QipOiu_VBi0_u89QZ9J3RAxpbp1zMHCtStnUVvfs=w426-h240-k-no,Museum exploring Washington state's history through high-tech exhibits such as a big model railroad.,,47.2447903,-122.4359546
29,Wonderland Family Fun Center Pizza - & Local brews,4.1,wonderlandspokane.com,"10515 N Division St, Spokane, WA 99218",Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom,Amenities    Good for kids   Restaurant   Restroom,https://lh5.googleusercontent.com/p/AF1QipMa_lSvaq7phyXh3NexHXtVTGHCwa_SpoUKcCnN=w408-h272-k-no,"Mini-golf, laser tag & go-karts are some of the attractions at this complex with pizza & TV sports.",Wonderland Family Fun Center is the perfect place for the entire family to spend a fun and relaxing day. Over 5 acres. Admission is FREE. Open year round.,47.7536985,-117.410751
